player_id,name,Age,Position,Minutes,Matches Played,Starts,Subs,Goals,Assists,G+A/90,Shots/90,Shots on target/90,Pens taken,Pens scored,Club position at the end of the league
74,Callum Hudson-Odoi,24,LW,2195,31,25,6,5,2,0.29,1.52,0.7,0,0,7th
75,Dwight McNeil,25,LW,1371,21,15,6,4,6,0.66,1.58,0.66,0,0,13th
76,Jeremy Doku,22,LW,1515,29,16,13,3,6,0.53,1.72,0.53,0,0,3rd
77,Jadon Sancho,25,LW,1764,31,19,12,3,5,0.36,1.22,0.41,0,0,4th
78,Simon Adingra,23,LW,1098,29,12,17,2,2,0.33,2.71,0.66,0,0,8th
79,Jack Harrison,28,LW,2077,34,24,10,1,1,0.04,1.26,0.3,0,0,13th
80,Kamaldeen Sulemana,23,LW,1402,26,17,9,1,1,0.13,1.86,0.51,0,0,20th
81,Mohamed Salah,32,RW,3371,38,38,0,29,18,1.25,3.47,1.63,9,9,1st
82,Bryan Mbeumo,25,RW,3414,38,38,0,20,7,0.71,2.24,1.08,6,5,10th
83,Jarrod Bowen,28,RW,2973,34,34,0,13,8,0.64,2.63,1.12,1,1,14th
84,Antoine Semenyo,25,RW,3203,37,36,1,11,5,0.45,3.54,1.15,0,0,9th
85,Brennan Johnson,24,RW,2177,33,24,9,11,3,0.58,2.23,0.83,0,0,17th
86,Jacob Murphy,30,RW,2360,35,31,4,8,12,0.76,1.64,0.57,0,0,5th
87,Ismaila Sarr,27,RW,2711,38,30,8,8,6,0.46,1.96,0.96,0,0,12th
88,Dango Ouattara,23,RW,2006,32,21,11,7,4,0.49,2.78,0.9,0,0,9th
89,Noni Madueke,23,RW,2033,32,27,5,7,3,0.44,3.54,1.42,0,0,4th
90,Anthony Elanga,23,RW,2501,38,31,7,6,11,0.61,1.58,0.86,0,0,7th
91,Bukayo Saka,23,RW,1728,25,20,5,6,10,0.83,3.49,1.2,1,1,2nd
92,Harry Wilson,28,RW,1161,25,12,13,6,1,0.54,3.33,1.32,0,0,11th
93,Mohammed Kudus,24,RW,2589,32,31,1,5,3,0.28,2.61,0.76,0,0,14th
94,Pedro Neto,25,RW,2269,35,24,11,4,6,0.4,2.34,0.67,0,0,4th
95,Adama Traore,29,RW,1772,36,18,18,2,7,0.46,1.98,0.61,0,0,11th
96,Leon Bailey,27,RW,1139,24,14,10,1,2,0.24,2.21,0.47,0,0,6th
