player_id,Name,Age,Position,Minutes,Matches Played,Starts,Subs,Goals,Assists,G+A/90,Shots/90,Shots on target/90,Pens taken,Pens scored,Club position at the end of the league
1,James Ward-Prowse,27,AM,3216,36,36,0,10,5,0.42,1.54,0.67,4,4,15th
2,Conor Gallagher,22,AM,2845,34,33,1,8,3,0.35,1.64,0.7,0,0,12th
3,lkay Gundogan,31,AM,1856,27,20,7,8,3,0.58,2.67,0.92,0,0,1st
4,Pablo Fornals,26,AM,2794,36,32,4,6,4,0.29,1.38,0.39,0,0,7th
5,Youri Tielemans,25,AM,2632,32,29,3,6,4,0.34,2.02,0.58,2,2,8th
6,Jacob Ramsey,20,AM,2468,34,29,5,6,1,0.26,1.24,0.4,0,0,14th
7,Alexis Mac Allister,23,AM,2122,33,22,11,5,2,0.3,2.54,0.47,3,2,9th
8,Bruno Guimaraes,24,AM,1034,17,11,6,5,1,0.52,2,1.04,0,0,11th
9,Fred,29,AM,2028,28,24,4,4,5,0.36,0.67,0.4,0,0,6th
10,Joelinton,25,AM,2558,35,30,5,4,2,0.18,1.58,0.49,0,0,11th
11,John McGinn,27,AM,3090,35,35,0,3,4,0.2,1.25,0.47,0,0,14th
12,Mateo Kovacic,28,AM,1558,25,16,9,2,5,0.4,1.27,0.35,0,0,3rd
13,Pascal Grob,30,AM,2038,29,24,5,2,4,0.26,1.02,0.35,1,0,9th
14,Josh Brownhill,26,AM,2955,35,32,3,2,3,0.15,0.88,0.27,0,0,18th
15,Douglas Luiz,24,AM,2716,34,31,3,2,3,0.17,0.76,0.27,0,0,14th
16,Joao Moutinho,35,AM,2971,35,34,1,2,1,0.09,0.61,0.21,0,0,10th
17,Stuart Armstrong,30,AM,1473,25,15,10,2,0,0.12,2.32,0.55,0,0,15th
18,Joe Willock,22,AM,2036,29,24,5,2,0,0.09,1.55,0.49,0,0,11th
19,Declan Rice,23,AM,3179,36,35,1,1,4,0.14,0.74,0.23,0,0,7th
20,Kiernan Dewsbury-Hall,23,AM,2105,28,23,5,1,2,0.13,0.9,0.13,0,0,8th
21,Scott McTominay,25,AM,2386,30,28,2,1,1,0.08,1.02,0.26,0,0,6th
22,Mathias Jensen,25,AM,1601,31,19,12,0,1,0.06,1.07,0.28,0,0,13th
23,Sean Longstaff,24,AM,1463,24,15,9,1,1,0.12,0.92,0.12,0,0,11th
24,Harry Kane,28,CF,3232,37,36,1,17,9,0.72,3.7,1.53,4,4,4th
25,Jamie Vardy,35,CF,1806,25,20,5,15,2,0.85,2.69,1.3,0,0,8th
26,Ivan Toney,26,CF,2909,33,32,1,12,5,0.53,2.72,0.93,5,5,13th
27,Ollie Watkins,26,CF,2952,35,33,2,11,2,0.4,2.35,0.98,1,1,14th
28,Michail Antonio,32,CF,2972,36,34,2,10,8,0.55,2.51,0.88,1,0,7th
29,Richarlison,25,CF,2523,30,28,2,10,5,0.54,2.6,0.82,3,3,16th
30,Gabriel Jesus,25,CF,1877,28,12,16,8,8,0.77,3.07,1.2,1,1,1st
31,Kai Havertz,22,CF,1809,29,22,7,8,3,0.55,2.79,1.14,0,0,3rd
32,Neal Maupay,25,CF,2275,32,25,7,8,2,0.4,2.41,0.59,2,1,9th
33,Callum Wilson,30,CF,1386,18,16,2,8,0,0.52,2.27,0.97,2,2,11th
34,Che Adams,25,CF,2039,30,23,7,7,3,0.44,2.16,1.06,0,0,15th
35,Yoane Wissa,25,CF,1284,30,12,18,7,1,0.56,2.24,0.91,0,0,13th
36,Raul Jimenez,31,CF,2633,34,30,4,6,4,0.34,1.95,0.55,1,1,10th
37,Odsonne Edouard,24,CF,1563,28,18,10,6,3,0.52,2.3,1.04,1,1,12th
38,Danny Welbeck,31,CF,1477,25,15,10,6,2,0.49,2.62,1.34,0,0,9th
39,Rodrigo,31,CF,2265,31,27,4,6,1,0.28,1.87,0.72,1,1,17th
40,Roberto Firmino,30,CF,988,20,10,10,5,4,0.82,2.73,1,0,0,2nd
41,Patson Daka,23,CF,1158,23,13,10,5,3,0.62,2.02,1.24,0,0,8th
42,Dominic Calvert-Lewin,25,CF,1283,17,15,2,5,2,0.49,2.31,0.91,3,2,16th
43,Hee-chan Hwang,26,CF,1815,30,20,10,5,1,0.3,1.34,0.59,0,0,10th
44,Jean-Philippe Mateta,24,CF,1145,22,13,9,5,1,0.47,2.91,1.41,0,0,12th
45,Kelechi Iheanacho,25,CF,1264,26,13,13,4,5,0.64,2.21,0.85,0,0,8th
