player_id,Name,Age,Position,Minutes,Matches Played,Starts,Subs,Goals,Assists,G+A/90,Shots/90,Shots on target/90,Pens taken,Pens scored,Club position at the end of the league
46,Jordan Ayew,30,CF,2020,31,23,8,3,3,0.27,1.56,0.36,0,0,12th
47,Joao Pedro,20,CF,1644,28,15,13,3,1,0.22,2.57,0.88,0,0,19th
48,Adam Armstrong,25,CF,1414,23,17,6,2,3,0.25,2.99,0.89,0,0,15th
49,Kevin De Bruyne,30,CM,2202,30,25,5,15,8,0.94,3.15,1.27,0,0,1st
50,James Maddison,25,CM,2460,35,28,7,12,8,0.73,2.64,1.24,0,0,8th
51,Mason Mount,23,CM,2363,32,27,5,11,10,0.8,2.89,1.1,1,1,3rd
52,Bruno Fernandes,27,CM,3110,36,35,1,10,6,0.46,2.57,0.84,2,0,6th
53,Emile Smith Rowe,21,CM,1921,33,21,12,10,2,0.56,1.87,1.08,0,0,5th
54,Phil Foden,21,CM,2129,28,24,4,9,5,0.59,2.41,0.93,0,0,1st
55,Bernardo Silva,27,CM,2857,35,33,2,8,4,0.38,1.51,0.63,0,0,1st
56,Martin Odegaard,23,CM,2785,36,32,4,7,4,0.36,1.71,0.68,0,0,5th
57,Dejan Kulusevski,22,CM,1261,18,14,4,5,8,0.93,1.86,0.71,0,0,4th
58,Emiliano Buendia,25,CM,1897,35,22,13,4,6,0.47,2.09,0.62,0,0,14th
59,Abdoulaye Doucoure,29,CM,2537,30,29,1,2,4,0.21,1.21,0.39,0,0,16th
60,Christian Eriksen,30,CM,939,11,10,1,1,4,0.48,2.11,0.86,0,0,13th
61,Heung-min Son,29,LW,3007,35,35,0,23,9,0.9,2.57,1.47,0,0,4th
62,Diogo Jota,25,LW,2365,35,27,8,15,4,0.72,3.43,1.26,0,0,2nd
63,Wilfried Zaha,29,LW,2762,33,31,2,14,1,0.49,2.25,1.04,7,5,12th
64,Saïd Benrahma,26,LW,2168,32,26,6,8,6,0.58,2.62,0.91,0,0,7th
65,Leandro Trossard,27,LW,2802,34,32,2,8,3,0.35,2.37,0.87,1,1,9th
66,Jack Harrison,25,LW,2639,35,32,3,8,1,0.31,1.47,0.58,0,0,17th
67,Harvey Barnes,24,LW,2101,32,24,8,6,10,0.69,2.83,1.03,0,0,8th
68,Gabriel Martinelli,20,LW,1861,29,21,8,6,6,0.58,2.52,0.77,1,1,5th
69,Allan Saint-Maximin,25,LW,2804,35,31,4,5,5,0.32,2.05,0.83,0,0,11th
70,Demarai Gray,25,LW,2338,34,28,6,5,4,0.35,2.5,0.65,0,0,16th
71,Luis Diaz,25,LW,958,13,11,2,4,3,0.66,3.57,1.22,0,0,2nd
72,Anthony Gordon,21,LW,2285,35,25,10,4,2,0.24,1.73,0.71,0,0,16th
73,Marcus Rashford,24,LW,1236,25,13,12,4,2,0.44,1.6,0.87,0,0,6th
74,Jadon Sancho,22,LW,1898,29,20,9,3,3,0.28,1.23,0.43,0,0,6th
75,Jack Grealish,26,LW,1913,26,22,4,3,3,0.28,2.07,0.71,0,0,1st
76,Daniel Podence,26,LW,1484,26,15,11,2,3,0.3,2.12,0.91,0,0,10th
77,Alex Iwobi,26,LW,2034,28,22,6,2,2,0.18,1.06,0.27,0,0,16th
78,Callum Hudson-Odoi,21,LW,962,15,11,4,1,2,0.28,1.68,0.65,0,0,3rd
79,Mohamed Salah,29,RW,2762,35,30,5,23,13,1.17,4.53,1.96,6,5,2nd
80,Raheem Sterling,27,RW,2128,30,23,7,13,5,0.76,2.45,1.18,3,2,1st
81,Jarrod Bowen,25,RW,2983,36,34,2,12,10,0.66,2.41,1.06,0,0,7th
82,Bukayo Saka,20,RW,2978,38,36,2,11,7,0.54,2.93,0.94,2,2,5th
83,Riyad Mahrez,31,RW,1499,28,15,13,11,5,0.96,3.66,1.38,5,4,1st
84,Ismaila Sarr,24,RW,1861,22,21,1,5,2,0.34,1.89,0.82,1,0,19th
85,Bryan Mbeumo,22,RW,2905,35,34,1,4,7,0.34,2.39,0.68,1,1,13th
86,Andros Townsend,30,RW,1455,21,17,4,3,2,0.31,1.3,0.62,1,1,16th
87,Michael Olise,20,RW,1140,26,12,14,2,5,0.55,1.5,0.79,0,0,12th
88,Anthony Elanga,20,RW,1213,21,14,7,2,2,0.3,1.56,0.52,0,0,6th
89,Jacob Murphy,27,RW,1473,33,13,20,1,2,0.18,1.65,0.31,0,0,11th
90,Miguel Almiron,28,RW,1716,30,19,11,1,0,0.05,1.68,0.37,0,0,11th
91,Adama Traore,25,RW,1066,20,10,10,1,0,0.08,1.94,0.42,0,0,10th
