player_id,Name,Age,Position,Minutes,Matches Played,Starts,Subs,Goals,Assists,G+A/90,Shots/90,Shots on target/90,Pens taken,Pens scored,Club position at the end of the league
1,Alexis Mac Allister,24,AM,2886,35,31,4,10,2,0.37,2.68,1.06,6,6,6th
2,Pascal Grob,31,AM,3239,37,37,0,9,8,0.47,1.11,0.53,0,0,6th
3,James Ward-Prowse,28,AM,3371,38,38,0,9,4,0.35,1.17,0.53,4,2,20th
4,lkay Gundogan,32,AM,2353,31,27,4,8,5,0.46,2.07,0.76,1,0,1st
5,Philip Billing,26,AM,2765,36,34,2,7,1,0.26,1.24,0.59,0,0,15th
6,Jacob Ramsey,22,AM,2637,35,31,4,6,7,0.44,1.13,0.44,0,0,7th
7,Douglas Luiz,25,AM,2927,37,33,4,6,6,0.37,1.05,0.37,0,0,7th
8,Joelinton,26,AM,2661,32,30,2,6,4,0.24,1.72,0.68,0,0,4th
9,Mathias Jensen,27,AM,2804,37,37,0,5,6,0.35,0.74,0.22,0,0,9th
10,Andreas Pereira,27,AM,2692,33,33,0,4,6,0.33,2.07,0.77,1,1,10th
11,Bruno Guimaraes,25,AM,2726,32,32,0,4,5,0.3,0.92,0.26,0,0,4th
12,Declan Rice,24,AM,3273,37,36,1,4,2,0.14,0.99,0.25,1,0,14th
13,Joe Willock,23,AM,2558,35,31,4,3,6,0.32,2.04,0.6,0,0,4th
14,Harrison Reed,28,AM,2866,37,35,2,3,4,0.22,0.63,0.25,0,0,10th
15,Youri Tielemans,26,AM,2344,31,27,4,3,2,0.19,1.19,0.38,2,1,18th
16,Danilo Santos,22,AM,976,13,12,1,3,2,0.46,1.38,0.37,0,0,16th
17,Conor Gallagher,23,AM,1623,35,18,17,3,1,0.22,1.55,0.61,0,0,12th
18,Pablo Fornals,27,AM,1502,32,17,15,3,1,0.24,1.62,0.42,0,0,14th
19,Curtis Jones,22,AM,1035,18,12,6,3,1,0.35,1.3,0.43,0,0,5th
20,Fred,30,AM,1249,35,12,23,2,2,0.29,1.87,0.36,0,0,3rd
