player_id,player_name,age,position,minutes,appearances,starts,subs,goals,assists,g_plus_a_90,shots_90,shots_on_target_90,pens_taken,pens_scored,club_position,season,goals_next,assists_next,next_season_g_plus_a,player_id,g_plus_a_per_90,current_g_plus_a
45,Youri Tielemans,25,AM,2632,32,29,3,6,4,0.34,2.02,0.58,2,2,8,2021,3,2,5,5,,10
46,Jacob Ramsey,20,AM,2468,34,29,5,6,1,0.26,1.24,0.4,0,0,14,2021,6,7,13,6,,7
47,Alexis Mac Allister,23,AM,2122,33,22,11,5,2,0.3,2.54,0.47,3,2,9,2021,10,2,12,7,,7
48,Bruno Guimaraes,24,AM,1034,17,11,6,5,1,0.52,2,1.04,0,0,11,2021,4,5,9,8,,6
49,Fred,29,AM,2028,28,24,4,4,5,0.36,0.67,0.4,0,0,6,2021,2,2,4,9,,9
50,Joelinton,25,AM,2558,35,30,5,4,2,0.18,1.58,0.49,0,0,11,2021,6,4,10,10,,6
51,John McGinn,27,AM,3090,35,35,0,3,4,0.2,1.25,0.47,0,0,14,2021,1,3,4,11,,7
52,Mateo Kovacic,28,AM,1558,25,16,9,2,5,0.4,1.27,0.35,0,0,3,2021,1,2,3,12,,7
53,Pascal Grob,30,AM,2038,29,24,5,2,4,0.26,1.02,0.35,1,0,9,2021,9,8,17,13,,6
54,Douglas Luiz,24,AM,2716,34,31,3,2,3,0.17,0.76,0.27,0,0,14,2021,6,6,12,15,,5
55,Stuart Armstrong,30,AM,1473,25,15,10,2,0,0.12,2.32,0.55,0,0,15,2021,2,1,3,17,,2
56,Joe Willock,22,AM,2036,29,24,5,2,0,0.09,1.55,0.49,0,0,11,2021,3,6,9,18,,2
57,Declan Rice,23,AM,3179,36,35,1,1,4,0.14,0.74,0.23,0,0,7,2021,4,2,6,19,,5
58,Kiernan Dewsbury-Hall,23,AM,2105,28,23,5,1,2,0.13,0.9,0.13,0,0,8,2021,2,2,4,20,,3
59,Scott McTominay,25,AM,2386,30,28,2,1,1,0.08,1.02,0.26,0,0,6,2021,1,0,1,21,,2
60,Mathias Jensen,25,AM,1601,31,19,12,0,1,0.06,1.07,0.28,0,0,13,2021,5,6,11,22,,1
61,Sean Longstaff,24,AM,1463,24,15,9,1,1,0.12,0.92,0.12,0,0,11,2021,1,4,5,23,,2
62,Harry Kane,28,CF,3232,37,36,1,17,9,0.72,3.7,1.53,4,4,4,2021,30,4,34,24,,26
63,Jamie Vardy,35,CF,1806,25,20,5,15,2,0.85,2.69,1.3,0,0,8,2021,3,4,7,25,,17
64,Ivan Toney,26,CF,2909,33,32,1,12,5,0.53,2.72,0.93,5,5,13,2021,20,4,24,26,,17
65,Ollie Watkins,26,CF,2952,35,33,2,11,2,0.4,2.35,0.98,1,1,14,2021,15,6,21,27,,13
66,Michail Antonio,32,CF,2972,36,34,2,10,8,0.55,2.51,0.88,1,0,7,2021,5,3,8,28,,18
67,Richarlison,25,CF,2523,30,28,2,10,5,0.54,2.6,0.82,3,3,16,2021,1,4,5,29,,15
68,Gabriel Jesus,25,CF,1877,28,12,16,8,8,0.77,3.07,1.2,1,1,1,2021,11,6,17,30,,16
69,Kai Havertz,22,CF,1809,29,22,7,8,3,0.55,2.79,1.14,0,0,3,2021,7,1,8,31,,11
70,Neal Maupay,25,CF,2275,32,25,7,8,2,0.4,2.41,0.59,2,1,9,2021,1,0,1,32,,10
71,Callum Wilson,30,CF,1386,18,16,2,8,0,0.52,2.27,0.97,2,2,11,2021,18,5,23,33,,8
72,Che Adams,25,CF,2039,30,23,7,7,3,0.44,2.16,1.06,0,0,15,2021,5,3,8,34,,10
73,Yoane Wissa,25,CF,1284,30,12,18,7,1,0.56,2.24,0.91,0,0,13,2021,7,3,10,35,,8
74,Odsonne Edouard,24,CF,1563,28,18,10,6,3,0.52,2.3,1.04,1,1,12,2021,5,2,7,37,,9
75,Danny Welbeck,31,CF,1477,25,15,10,6,2,0.49,2.62,1.34,0,0,9,2021,6,4,10,38,,8
76,Rodrigo,31,CF,2265,31,27,4,6,1,0.28,1.87,0.72,1,1,17,2021,13,1,14,39,,7
77,Roberto Firmino,30,CF,988,20,10,10,5,4,0.82,2.73,1,0,0,2,2021,11,4,15,40,,9
78,Patson Daka,23,CF,1158,23,13,10,5,3,0.62,2.02,1.24,0,0,8,2021,4,4,8,41,,8
79,Dominic Calvert-Lewin,25,CF,1283,17,15,2,5,2,0.49,2.31,0.91,3,2,16,2021,2,1,3,42,,7
80,Hee-chan Hwang,26,CF,1815,30,20,10,5,1,0.3,1.34,0.59,0,0,10,2021,3,1,4,43,,6
81,Kelechi Iheanacho,25,CF,1264,26,13,13,4,5,0.64,2.21,0.85,0,0,8,2021,5,5,10,45,,9
82,Jordan Ayew,30,CF,2020,31,23,8,3,3,0.27,1.56,0.36,0,0,12,2021,4,3,7,46,,6
83,Adam Armstrong,25,CF,1414,23,17,6,2,3,0.25,2.99,0.89,0,0,15,2021,2,1,3,48,,5
84,Heung-min Son,29,LW,3007,35,35,0,23,9,0.9,2.57,1.47,0,0,4,2021,10,6,16,61,,32
85,Diogo Jota,25,LW,2365,35,27,8,15,4,0.72,3.43,1.26,0,0,2,2021,7,4,11,62,,19
86,Wilfried Zaha,29,LW,2762,33,31,2,14,1,0.49,2.25,1.04,7,5,12,2021,7,2,9,63,,15
87,Saïd Benrahma,26,LW,2168,32,26,6,8,6,0.58,2.62,0.91,0,0,7,2021,6,3,9,64,,14
88,Jack Harrison,25,LW,2639,35,32,3,8,1,0.31,1.47,0.58,0,0,17,2021,5,7,12,66,,9
89,Harvey Barnes,24,LW,2101,32,24,8,6,10,0.69,2.83,1.03,0,0,8,2021,13,1,14,67,,16
90,Gabriel Martinelli,20,LW,1861,29,21,8,6,6,0.58,2.52,0.77,1,1,5,2021,15,5,20,68,,12
91,Allan Saint-Maximin,25,LW,2804,35,31,4,5,5,0.32,2.05,0.83,0,0,11,2021,1,5,6,69,,10
92,Demarai Gray,25,LW,2338,34,28,6,5,4,0.35,2.5,0.65,0,0,16,2021,4,1,5,70,,9
93,Marcus Rashford,24,LW,1236,25,13,12,4,2,0.44,1.6,0.87,0,0,6,2021,17,5,22,73,,6
94,Jadon Sancho,22,LW,1898,29,20,9,3,3,0.28,1.23,0.43,0,0,6,2021,6,3,9,74,,6
95,Jack Grealish,26,LW,1913,26,22,4,3,3,0.28,2.07,0.71,0,0,1,2021,5,7,12,75,,6
96,Daniel Podence,26,LW,1484,26,15,11,2,3,0.3,2.12,0.91,0,0,10,2021,6,0,6,76,,5
