understat_player_id,player,team,league,season,cluster_kmeans
3277.0,Alexandre Lacazette,Arsenal,ENG-Premier League,1920,2
5656.0,Nicolas Pépé,Arsenal,ENG-Premier League,1920,0
318.0,Pierre-Emerick Aubameyang,Arsenal,ENG-Premier League,1920,2
5612.0,Anwar El Ghazi,Aston Villa,ENG-Premier League,1920,0
675.0,Jack Grealish,Aston Villa,ENG-Premier League,1920,0
8287.0,Mbwana Samatta,Aston Villa,ENG-Premier League,1920,3
7722.0,Trézéguet,Aston Villa,ENG-Premier League,1920,3
468.0,Callum Wilson,Bournemouth,ENG-Premier League,1920,2
1679.0,Dominic Solanke,Bournemouth,ENG-Premier League,1920,2
5596.0,Harry Wilson,Bournemouth,ENG-Premier League,1920,3
465.0,Joshua King,Bournemouth,ENG-Premier League,1920,2
1683.0,Ryan Fraser,Bournemouth,ENG-Premier League,1920,0
7991.0,Aaron Connolly,Brighton,ENG-Premier League,1920,2
6033.0,Aaron Mooy,Brighton,ENG-Premier League,1920,0
7698.0,Leandro Trossard,Brighton,ENG-Premier League,1920,0
3621.0,Neal Maupay,Brighton,ENG-Premier League,1920,2
239.0,Pascal Groß,Brighton,ENG-Premier League,1920,0
6049.0,Solly March,Brighton,ENG-Premier League,1920,3
4422.0,Ashley Barnes,Burnley,ENG-Premier League,1920,2
4456.0,Chris Wood,Burnley,ENG-Premier League,1920,2
844.0,Jay Rodriguez,Burnley,ENG-Premier League,1920,2
2662.0,Christian Pulisic,Chelsea,ENG-Premier League,1920,1
7768.0,Mason Mount,Chelsea,ENG-Premier League,1920,0
502.0,Olivier Giroud,Chelsea,ENG-Premier League,1920,4
702.0,Tammy Abraham,Chelsea,ENG-Premier League,1920,4
700.0,Willian,Chelsea,ENG-Premier League,1920,0
606.0,Christian Benteke,Crystal Palace,ENG-Premier League,1920,2
672.0,Jordan Ayew,Crystal Palace,ENG-Premier League,1920,3
522.0,Wilfried Zaha,Crystal Palace,ENG-Premier League,1920,3
5555.0,Dominic Calvert-Lewin,Everton,ENG-Premier League,1920,2
6026.0,Richarlison,Everton,ENG-Premier League,1920,3
966.0,Alex Oxlade-Chamberlain,Liverpool,ENG-Premier League,1920,3
1250.0,Mohamed Salah,Liverpool,ENG-Premier League,1920,4
482.0,Roberto Firmino,Liverpool,ENG-Premier League,1920,4
838.0,Sadio Mané,Liverpool,ENG-Premier League,1920,1
3635.0,Bernardo Silva,Manchester City,ENG-Premier League,1920,1
5543.0,Gabriel Jesus,Manchester City,ENG-Premier League,1920,4
6055.0,Phil Foden,Manchester City,ENG-Premier League,1920,1
618.0,Raheem Sterling,Manchester City,ENG-Premier League,1920,4
750.0,Riyad Mahrez,Manchester City,ENG-Premier League,1920,1
619.0,Sergio Agüero,Manchester City,ENG-Premier League,1920,4
87.0,Joelinton,Newcastle United,ENG-Premier League,1920,3
7420.0,Miguel Almirón,Newcastle United,ENG-Premier League,1920,3
7712.0,Billy Sharp,Sheffield United,ENG-Premier League,1920,2
7711.0,David McGoldrick,Sheffield United,ENG-Premier League,1920,2
1748.0,Lys Mousset,Sheffield United,ENG-Premier League,1920,2
1736.0,Oliver McBurnie,Sheffield United,ENG-Premier League,1920,2
7700.0,Che Adams,Southampton,ENG-Premier League,1920,2
986.0,Danny Ings,Southampton,ENG-Premier League,1920,2
7701.0,Moussa Djenepo,Southampton,ENG-Premier League,1920,3
790.0,Nathan Redmond,Southampton,ENG-Premier League,1920,3
839.0,Shane Long,Southampton,ENG-Premier League,1920,2
591.0,Gerard Deulofeu,Watford,ENG-Premier League,1920,0
1723.0,Roberto Pereyra,Watford,ENG-Premier League,1920,3
574.0,Troy Deeney,Watford,ENG-Premier League,1920,2
3277.0,Alexandre Lacazette,Arsenal,ENG-Premier League,2021,2
5656.0,Nicolas Pépé,Arsenal,ENG-Premier League,2021,2
318.0,Pierre-Emerick Aubameyang,Arsenal,ENG-Premier League,2021,2
700.0,Willian,Arsenal,ENG-Premier League,2021,0
5612.0,Anwar El Ghazi,Aston Villa,ENG-Premier League,2021,2
695.0,Bertrand Traoré,Aston Villa,ENG-Premier League,2021,0
675.0,Jack Grealish,Aston Villa,ENG-Premier League,2021,1
8865.0,Ollie Watkins,Aston Villa,ENG-Premier League,2021,2
7722.0,Trézéguet,Aston Villa,ENG-Premier League,2021,3
486.0,Adam Lallana,Brighton,ENG-Premier League,2021,3
8379.0,Alexis Mac Allister,Brighton,ENG-Premier League,2021,3
501.0,Danny Welbeck,Brighton,ENG-Premier League,2021,2
7698.0,Leandro Trossard,Brighton,ENG-Premier League,2021,0
3621.0,Neal Maupay,Brighton,ENG-Premier League,2021,2
4422.0,Ashley Barnes,Burnley,ENG-Premier League,2021,3
4456.0,Chris Wood,Burnley,ENG-Premier League,2021,2
844.0,Jay Rodriguez,Burnley,ENG-Premier League,2021,3
1017.0,Matěj Vydra,Burnley,ENG-Premier League,2021,2
6456.0,Callum Hudson-Odoi,Chelsea,ENG-Premier League,2021,0
2662.0,Christian Pulisic,Chelsea,ENG-Premier League,2021,1
8992.0,Hakim Ziyech,Chelsea,ENG-Premier League,2021,0
5220.0,Kai Havertz,Chelsea,ENG-Premier League,2021,2
702.0,Tammy Abraham,Chelsea,ENG-Premier League,2021,2
65.0,Timo Werner,Chelsea,ENG-Premier League,2021,2
775.0,Andros Townsend,Crystal Palace,ENG-Premier League,2021,0
606.0,Christian Benteke,Crystal Palace,ENG-Premier League,2021,2
672.0,Jordan Ayew,Crystal Palace,ENG-Premier League,2021,3
522.0,Wilfried Zaha,Crystal Palace,ENG-Premier League,2021,3
500.0,Alex Iwobi,Everton,ENG-Premier League,2021,3
5555.0,Dominic Calvert-Lewin,Everton,ENG-Premier League,2021,2
714.0,Gylfi Sigurðsson,Everton,ENG-Premier League,2021,0
2249.0,James Rodríguez,Everton,ENG-Premier League,2021,0
6026.0,Richarlison,Everton,ENG-Premier League,2021,3
5556.0,Ademola Lookman,Fulham,ENG-Premier League,2021,0
773.0,Aleksandar Mitrović,Fulham,ENG-Premier League,2021,2
3683.0,Ivan Cavaleiro,Fulham,ENG-Premier League,2021,3
6854.0,Diogo Jota,Liverpool,ENG-Premier League,2021,4
1250.0,Mohamed Salah,Liverpool,ENG-Premier League,2021,4
482.0,Roberto Firmino,Liverpool,ENG-Premier League,2021,1
838.0,Sadio Mané,Liverpool,ENG-Premier League,2021,1
3635.0,Bernardo Silva,Manchester City,ENG-Premier League,2021,3
6441.0,Ferrán Torres,Manchester City,ENG-Premier League,2021,2
5543.0,Gabriel Jesus,Manchester City,ENG-Premier League,2021,2
6055.0,Phil Foden,Manchester City,ENG-Premier League,2021,1
618.0,Raheem Sterling,Manchester City,ENG-Premier League,2021,1
750.0,Riyad Mahrez,Manchester City,ENG-Premier League,2021,1
101.0,Allan Saint-Maximin,Newcastle United,ENG-Premier League,2021,3
468.0,Callum Wilson,Newcastle United,ENG-Premier League,2021,2
87.0,Joelinton,Newcastle United,ENG-Premier League,2021,3
7420.0,Miguel Almirón,Newcastle United,ENG-Premier League,2021,3
1683.0,Ryan Fraser,Newcastle United,ENG-Premier League,2021,0
7714.0,Ben Osborn,Sheffield United,ENG-Premier League,2021,3
7711.0,David McGoldrick,Sheffield United,ENG-Premier League,2021,2
5256.0,Oliver Burke,Sheffield United,ENG-Premier League,2021,3
1736.0,Oliver McBurnie,Sheffield United,ENG-Premier League,2021,3
5569.0,Rhian Brewster,Sheffield United,ENG-Premier League,2021,3
7700.0,Che Adams,Southampton,ENG-Premier League,2021,2
986.0,Danny Ings,Southampton,ENG-Premier League,2021,2
790.0,Nathan Redmond,Southampton,ENG-Premier League,2021,3
3277.0,Alexandre Lacazette,Arsenal,ENG-Premier League,2122,2
7322.0,Bukayo Saka,Arsenal,ENG-Premier League,2122,1
7752.0,Gabriel Martinelli,Arsenal,ENG-Premier League,2122,0
318.0,Pierre-Emerick Aubameyang,Arsenal,ENG-Premier League,2122,2
631.0,Ashley Young,Aston Villa,ENG-Premier League,2122,3
986.0,Danny Ings,Aston Villa,ENG-Premier League,2122,2
8865.0,Ollie Watkins,Aston Villa,ENG-Premier League,2122,2
488.0,Philippe Coutinho,Aston Villa,ENG-Premier League,2122,1
6552.0,Bryan Mbeumo,Brentford,ENG-Premier League,2122,2
998.0,Ivan Toney,Brentford,ENG-Premier League,2122,2
5786.0,Yoane Wissa,Brentford,ENG-Premier League,2122,2
8379.0,Alexis Mac Allister,Brighton,ENG-Premier League,2122,3
501.0,Danny Welbeck,Brighton,ENG-Premier League,2122,2
9284.0,Jakub Moder,Brighton,ENG-Premier League,2122,3
7698.0,Leandro Trossard,Brighton,ENG-Premier League,2122,3
3621.0,Neal Maupay,Brighton,ENG-Premier League,2122,2
593.0,Aaron Lennon,Burnley,ENG-Premier League,2122,3
4456.0,Chris Wood,Burnley,ENG-Premier League,2122,2
844.0,Jay Rodriguez,Burnley,ENG-Premier League,2122,2
3278.0,Maxwel Cornet,Burnley,ENG-Premier League,2122,2
7052.0,Wout Weghorst,Burnley,ENG-Premier League,2122,2
2662.0,Christian Pulisic,Chelsea,ENG-Premier League,2122,2
8992.0,Hakim Ziyech,Chelsea,ENG-Premier League,2122,1
5220.0,Kai Havertz,Chelsea,ENG-Premier League,2122,4
594.0,Romelu Lukaku,Chelsea,ENG-Premier League,2122,2
65.0,Timo Werner,Chelsea,ENG-Premier League,2122,2
606.0,Christian Benteke,Crystal Palace,ENG-Premier League,2122,2
5735.0,Jean-Philippe Mateta,Crystal Palace,ENG-Premier League,2122,2
757.0,Jeffrey Schlupp,Crystal Palace,ENG-Premier League,2122,3
672.0,Jordan Ayew,Crystal Palace,ENG-Premier League,2122,3
9948.0,Michael Olise,Crystal Palace,ENG-Premier League,2122,0
3697.0,Odsonne Édouard,Crystal Palace,ENG-Premier League,2122,2
522.0,Wilfried Zaha,Crystal Palace,ENG-Premier League,2122,2
8150.0,Anthony Gordon,Everton,ENG-Premier League,2122,3
762.0,Demarai Gray,Everton,ENG-Premier League,2122,0
5555.0,Dominic Calvert-Lewin,Everton,ENG-Premier League,2122,2
6026.0,Richarlison,Everton,ENG-Premier League,2122,2
6854.0,Diogo Jota,Liverpool,ENG-Premier League,2122,4
10408.0,Luis Díaz,Liverpool,ENG-Premier League,2122,1
1250.0,Mohamed Salah,Liverpool,ENG-Premier League,2122,4
482.0,Roberto Firmino,Liverpool,ENG-Premier League,2122,1
838.0,Sadio Mané,Liverpool,ENG-Premier League,2122,4
3635.0,Bernardo Silva,Manchester City,ENG-Premier League,2122,1
5543.0,Gabriel Jesus,Manchester City,ENG-Premier League,2122,1
675.0,Jack Grealish,Manchester City,ENG-Premier League,2122,1
6055.0,Phil Foden,Manchester City,ENG-Premier League,2122,1
618.0,Raheem Sterling,Manchester City,ENG-Premier League,2122,4
750.0,Riyad Mahrez,Manchester City,ENG-Premier League,2122,1
101.0,Allan Saint-Maximin,Newcastle United,ENG-Premier League,2122,3
468.0,Callum Wilson,Newcastle United,ENG-Premier League,2122,2
6063.0,Jacob Murphy,Newcastle United,ENG-Premier League,2122,3
87.0,Joelinton,Newcastle United,ENG-Premier League,2122,3
7420.0,Miguel Almirón,Newcastle United,ENG-Premier League,2122,3
1683.0,Ryan Fraser,Newcastle United,ENG-Premier League,2122,0
4419.0,Adam Armstrong,Southampton,ENG-Premier League,2122,2
8384.0,Armando Broja,Southampton,ENG-Premier League,2122,2
7700.0,Che Adams,Southampton,ENG-Premier League,2122,2
790.0,Nathan Redmond,Southampton,ENG-Premier League,2122,0
6893.0,Stuart Armstrong,Southampton,ENG-Premier League,2122,3
9301.0,Emmanuel Dennis,Watford,ENG-Premier League,2122,3
5675.0,Ismaila Sarr,Watford,ENG-Premier League,2122,3
465.0,Joshua King,Watford,ENG-Premier League,2122,2
8272.0,João Pedro,Watford,ENG-Premier League,2122,3
7322.0,Bukayo Saka,Arsenal,ENG-Premier League,2223,1
6482.0,Eddie Nketiah,Arsenal,ENG-Premier League,2223,4
5543.0,Gabriel Jesus,Arsenal,ENG-Premier League,2223,4
7752.0,Gabriel Martinelli,Arsenal,ENG-Premier League,2223,1
7698.0,Leandro Trossard,Arsenal,ENG-Premier League,2223,1
5221.0,Leon Bailey,Aston Villa,ENG-Premier League,2223,0
8865.0,Ollie Watkins,Aston Villa,ENG-Premier League,2223,2
1679.0,Dominic Solanke,Bournemouth,ENG-Premier League,2223,2
10743.0,Kieffer Moore,Bournemouth,ENG-Premier League,2223,2
6034.0,Philip Billing,Bournemouth,ENG-Premier League,2223,3
6552.0,Bryan Mbeumo,Brentford,ENG-Premier League,2223,0
998.0,Ivan Toney,Brentford,ENG-Premier League,2223,2
8859.0,Mikkel Damsgaard,Brentford,ENG-Premier League,2223,3
5786.0,Yoane Wissa,Brentford,ENG-Premier League,2223,2
501.0,Danny Welbeck,Brighton,ENG-Premier League,2223,1
10177.0,Evan Ferguson,Brighton,ENG-Premier League,2223,4
7892.0,João Félix,Chelsea,ENG-Premier League,2223,2
5220.0,Kai Havertz,Chelsea,ENG-Premier League,2223,2
618.0,Raheem Sterling,Chelsea,ENG-Premier League,2223,2
