understat_player_id,player,team,league,season,cluster_gmm,gmm_proba_c0,gmm_proba_c1,gmm_proba_c2,gmm_proba_c3,gmm_proba_c4
500.0,Alex Iwobi,Arsenal,ENG-Premier League,1718,1,1.2440697907740088e-12,0.9997528981906676,0.00024710180808818464,2.638531796049262e-18,2.747755981780932e-18
3277.0,Alexandre Lacazette,Arsenal,ENG-Premier League,1718,3,0.0038003964551713005,0.0,0.0003361117145858943,0.9958634904699959,1.3602468767363216e-09
501.0,Danny Welbeck,Arsenal,ENG-Premier League,1718,1,4.955150574313203e-06,0.9999286055561794,5.539062584385478e-05,8.098261343832393e-07,1.023884126815071e-05
499.0,Mesut Özil,Arsenal,ENG-Premier League,1718,1,4.23651215043823e-15,0.8513453025247335,0.14865469747478446,6.2384419373004696e-71,4.788623371009557e-13
318.0,Pierre-Emerick Aubameyang,Arsenal,ENG-Premier League,1718,3,0.0034635276331422956,0.0,0.004631047498172269,0.9919054248686867,2.3793820175441943e-24
468.0,Callum Wilson,Bournemouth,ENG-Premier League,1718,1,2.2822174966879356e-05,0.8951969222178539,1.5218581132122061e-05,0.0988830865342582,0.005881950491789013
735.0,Jermain Defoe,Bournemouth,ENG-Premier League,1718,1,3.328608816319857e-06,0.9983773698058593,1.2897639306275082e-05,0.0013915626749060948,0.00021484127111196942
465.0,Joshua King,Bournemouth,ENG-Premier League,1718,4,2.981233367974081e-08,0.0,0.004331937430820934,1.1685099067762261e-06,0.995666864246939
463.0,Junior Stanislas,Bournemouth,ENG-Premier League,1718,2,2.6947053676798747e-08,0.0,0.9942008124563548,1.6273844307990555e-75,0.005799160596591745
882.0,Glenn Murray,Brighton,ENG-Premier League,1718,3,3.591940169129579e-05,0.0,0.002680519647777668,0.997283550712085,1.0238446429888494e-08
239.0,Pascal Groß,Brighton,ENG-Premier League,1718,2,4.5395145944458285e-30,0.0,0.9999999999960885,2.460308333414446e-185,3.911662245911842e-12
4422.0,Ashley Barnes,Burnley,ENG-Premier League,1718,1,2.7556106429521864e-06,0.9879768604869065,3.893895987586422e-05,0.004154261494115798,0.007827183448459212
4456.0,Chris Wood,Burnley,ENG-Premier League,1718,3,2.1806062068641226e-05,0.44247186891211726,4.4503382601152736e-05,0.5574605110969366,1.3105462761266775e-06
1661.0,Sam Vokes,Burnley,ENG-Premier League,1718,1,4.337912698235891e-05,0.9426738478539528,2.4206818331976543e-06,0.05727591301095819,4.4393262728708545e-06
701.0,Eden Hazard,Chelsea,ENG-Premier League,1718,2,9.195574904979464e-07,0.0,0.9999860970815055,7.89717830483626e-18,1.2983361002584333e-05
687.0,Pedro,Chelsea,ENG-Premier League,1718,1,9.962099186763921e-05,0.9993265899610788,0.0005737890470531829,2.4352845191225118e-33,3.0707172035368983e-17
700.0,Willian,Chelsea,ENG-Premier League,1718,4,6.205262852595585e-09,0.0,0.035336086403237044,5.089082793844627e-62,0.9646639073915004
1804.0,Álvaro Morata,Chelsea,ENG-Premier League,1718,3,0.07017763431867176,0.03220242180424493,3.5315822026974925e-06,0.8976164122948802,3.2660700639312868e-18
775.0,Andros Townsend,Crystal Palace,ENG-Premier League,1718,1,6.511918603256224e-27,0.9999826789993995,1.732100053913339e-05,1.4058182017292526e-96,6.134314680729515e-14
606.0,Christian Benteke,Crystal Palace,ENG-Premier League,1718,3,0.0020488538752532225,0.0,8.462124313145393e-06,0.997933653150031,9.030850402292635e-06
522.0,Wilfried Zaha,Crystal Palace,ENG-Premier League,1718,1,1.9205891287636476e-07,0.9998809405325757,9.410166750141085e-05,7.346794939528204e-20,2.476574101026779e-05
6477.0,Cenk Tosun,Everton,ENG-Premier League,1718,1,3.056262573719738e-05,0.9083139571563148,4.870844511324264e-05,0.09159795054090367,8.821231931454237e-06
5555.0,Dominic Calvert-Lewin,Everton,ENG-Premier League,1718,1,9.428056772245613e-08,0.9920215078425489,3.7815339246102824e-05,3.9549061071532895e-06,0.007936627631530083
714.0,Gylfi Sigurðsson,Everton,ENG-Premier League,1718,1,1.8472589480724396e-30,0.9999632152876667,3.678471195441761e-05,7.106907340292386e-141,3.789465428802625e-13
599.0,Oumar Niasse,Everton,ENG-Premier League,1718,3,0.003129187576840196,0.0013083475040093918,6.712232850858917e-07,0.9955617936958651,5.394386782502634e-18
629.0,Wayne Rooney,Everton,ENG-Premier League,1718,2,0.00786079832127617,0.0,0.992139199931994,3.0878174455027976e-16,1.74672976100777e-09
1250.0,Mohamed Salah,Liverpool,ENG-Premier League,1718,0,0.9999998135465656,0.0,1.864534339135468e-07,1.2698745346153803e-16,3.690388122397829e-56
488.0,Philippe Coutinho,Liverpool,ENG-Premier League,1718,0,0.9992086911047255,0.0007522525811999534,3.9056314076192564e-05,8.990468174523886e-140,8.65540289144895e-79
482.0,Roberto Firmino,Liverpool,ENG-Premier League,1718,2,2.1117376298466284e-08,0.0,0.999979335629611,6.9387352053976745e-09,2.0636314278380965e-05
838.0,Sadio Mané,Liverpool,ENG-Premier League,1718,1,0.0011699251256572709,0.9986681704273728,0.0001248142005875009,3.7027069205626665e-05,6.317717675237271e-08
3635.0,Bernardo Silva,Manchester City,ENG-Premier League,1718,1,7.000875345255433e-09,0.9986568503849397,0.0013431426141851115,6.526096918381235e-34,1.3568411689587603e-22
5543.0,Gabriel Jesus,Manchester City,ENG-Premier League,1718,0,0.9990980719862184,0.0,0.0002596333647877426,0.0006422946489954942,1.830505851258287e-52
337.0,Leroy Sané,Manchester City,ENG-Premier League,1718,1,5.987706526094027e-10,0.9913211981973084,0.008678430129301237,3.215297225091352e-37,3.7107461903495745e-07
618.0,Raheem Sterling,Manchester City,ENG-Premier League,1718,0,0.9988139799163565,0.0,0.0011787449605138948,7.275123129317889e-06,2.1414227346080573e-23
619.0,Sergio Agüero,Manchester City,ENG-Premier League,1718,0,0.9999276274065665,0.0,5.435625098714355e-07,7.182903092285513e-05,2.0729207377018599e-94
743.0,Dwight Gayle,Newcastle United,ENG-Premier League,1718,3,0.0002659161924371714,0.34974119490566485,2.39917340120874e-06,0.6499367003763585,5.378935213814389e-05
